role,applyLink,company,experience,salary,location,jobSummary,skills
Software Engineer,https://www.naukri.com/job-listings-software-engineer-c-zentrix-gurugram-0-to-3-years-040823501431,C Zentrix,0-3 Yrs,Not disclosed,Gurugram,"Bachelors or Masters degree in Computer Science, 0 - 3 years experience Very good progr...","C++
Backend
Linux
MySQL
Javascript
VOIP
Programming
PHP"
Software Engineer,https://www.naukri.com/job-listings-software-engineer-replicon-software-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-080125504686,Replicon,0-4 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai"," Write Clean, Efficient Code : Develop robust, maintainable, and efficient Python ...","continuous integration
Scalability
Coding
Deployment
Customer support
Unit testing
Troubleshooting
Software solutions"
Software Engineer,https://www.naukri.com/job-listings-software-engineer-client-of-peoplelogic-business-solutions-noida-0-to-1-years-190216500376,Client Of PeopleLogic Business Solutions,0-1 Yrs,Not disclosed,Noida,Job Profile Working knowledge of Open vSwitch Has developed applications on Open Flow c...,"assembly language
Six Sigma
PMP
C
JavaScript
Real Time Operating Systems
.NET
HTML"
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-connecting-2-work-thiruvananthapuram-0-to-1-yrs-jobid-XpJAQ74p3JJzpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 1 Years,Not disclosed,Thiruvananthapuram,"Job Description Job briefWe are looking for a passionate Software Engineer to design , develop and install software solutions.Software Engineer respo...",c c sql rtos software engineer software engineering +1 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-ysecit-softwares-india-private-limited-bengaluru-bangalore-0-to-3-yrs-jobid-2DYTa3r__PLUS__36pzpSvf__PLUS__uAgZw==&source=srp,YsecIT softwares India Private Limited.,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"Role Software EngineerExperience 5 YrsSkills Strong Experience in System Analysis , Web Application Designs , Development , Documentation , Deploy...",c# javascript jquery system analysis asp.net software engineer rfid mvc +3 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-vegayan-systems-mumbai-0-to-3-yrs-jobid-KxJ__SLASH__Lsno3CZzpSvf__PLUS__uAgZw==&source=srp,Vegayan Systems,0 - 3 Years,Not disclosed,Mumbai,"Software Engineer Education: BE/B.Tech / MCA / ME / MTech in CS / IT from a reputed University Skills: Excellent programming skills in C , C Exper...",c c windows unix / solaris linux software engineer gtk +2 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-3ri-technologies-pvt-ltd-pune-0-to-3-yrs-jobid-niQsLqzVEolzpSvf__PLUS__uAgZw==&source=srp,3RI Technologies Pvt Ltd,0 - 3 Years,Not disclosed,Pune,"Architect , design , develop , and assist in the development of web applicationto support internal and external clients and stakeholdersCollaborate...",css maven javascript sql spring boot node.js database java git software engineer html +6 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-gs-tecknoserve-pvt-ltd-mumbai-0-to-3-yrs-jobid-ruKk7WGj1YtzpSvf__PLUS__uAgZw==&source=srp,gs tecknoserve pvt ltd,0 - 3 Years,Not disclosed,Mumbai,"Software Engineer Job Responsibilities:The role is responsible for designing , coding and modifying websites , from layout to function and according...",css html5 javascript jquery web programming security php software engineer html api +5 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-zeus-systems-pvt-ltd-mumbai-0-to-2-yrs-jobid-6zFvIjU152xzpSvf__PLUS__uAgZw==&source=srp,ZEUS SYSTEMS PVT. LTD,0 - 2 Years,Not disclosed,Mumbai,Software Engineer ( 0-2 years ) Hiring Now! You have good analytical and reference skills and are open to work on new / different technologies. You a...,html5 problem solving javascript jquery software engineer object oriented programming +2 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-silverlink-technilogies-chennai-0-to-2-yrs-jobid-oxz6USkJ1XNzpSvf__PLUS__uAgZw==&source=srp,silverlink technilogies,0 - 2 Years,Not disclosed,Chennai,"Analyzing business requirements and providing a feasible technical solutionInvolved in technical analysis , coding , testing , debugging and imple...",hibernate sso sql java iam pim xml debugging software engineer html rest oracle access management problem solving +8 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-vrindi-inc-delhi-0-to-3-yrs-jobid-__PLUS__PMC3UDmUllzpSvf__PLUS__uAgZw==&source=srp,vrindi inc,0 - 3 Years,Not disclosed,Delhi,"A Software engineer is a person responsible for the effective operation , maintenance and up-gradation of business software's used in organizations f...",html5 ado.net bootstrap jquery sql asp.net debugging software engineer software engineering api web designing phonegap mongodb entity framework xamarin mobile windows linq umbraco +14 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-textron-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-N__PLUS__G1gk0q49hzpSvf__PLUS__uAgZw==&source=srp,Textron India Pvt Ltd,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,"Work directly with the business users to comprehend the business requirement , clarify ambiguities and device solution approach Organize and prepare ...",css sql database java software engineer html data structures mvc c# rdbms windows javascript production support .net php +10 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-chargebee-chennai-0-to-3-yrs-jobid-ODSM9OnhA69zpSvf__PLUS__uAgZw==&source=srp,Chargebee,0 - 3 Years,Not disclosed,Chennai,About Chargebee:Chargebee is a subscription billing and revenue management platform powering some of the fastest-growing brands around the world today...,backend technologies core java expertise rest api design microservices architecture scrum / agile methodologies algorithms security software engineer data structures san spring boot +8 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-dquip-mumbai-thane-0-to-3-yrs-jobid-iQY1nUvyQfZzpSvf__PLUS__uAgZw==&source=srp,Dquip,0 - 3 Years,Not disclosed,"Mumbai, Thane",Software Engineer - PHP - Intern / Part TimeNote: For candidates residing in Mumbai and Thane.We have opportunities that can help you take your ideas ...,service oriented css soa xml data structures software engineering html mysql javascript soap fundamentals algorithms oops software engineer mvc business applications rest rdbms team player windows written communication php unix / linux +18 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-0-to-5-yrs-jobid-WQ__PLUS__9bYaOSypzpSvf__PLUS__uAgZw==&source=srp,NTT Data Vertex Software Inc.,0 - 5 Years,Not disclosed,Bengaluru / Bangalore,"Req ID: 309647NTT DATA strives to hire exceptional , innovative and passionate individuals who want to grow with us. If you want to be part of an inc...",mulesoft development software engineering application management cloud integration api development junior developer infrastructure technology consulting artificial intelligence +7 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-cloudxlab-delhi-delhi-ncr-0-to-3-yrs-jobid-YFI0CYtBFbNzpSvf__PLUS__uAgZw==&source=srp,cloudxlab,0 - 3 Years,Not disclosed,"Delhi, Delhi/NCR",We are looking for 10 - 12 interns for our organization for CAPRITECH department.this would be paid internship for a span of 3 5 months as per studen...,retail lending nse lending banking bse housing finance +1 more
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-iqvia-bengaluru-bangalore-0-to-1-yrs-jobid-kVI__PLUS__u61BU6lzpSvf__PLUS__uAgZw==&source=srp,IQVIA,0 - 1 Years,Not disclosed,Bengaluru / Bangalore,Job OverviewAssists with the design / development of software solutions requiring general domain knowledge and limited business expertise.troubleshoot...,object oriented programming front end development back end development sql and databases troubleshooting code python css javascript ruby php html website development +10 more
Software Engineer / Senior software Engineer,https://www.timesjobs.com/job-detail/software-engineer-senior-software-engineer-votary-softech-solution-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-2Ny9p7hDWypzpSvf__PLUS__uAgZw==&source=srp,votary softech solution pvt ltd,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"As the world leader in supplying integrated circuit and software solutions for cellular wireless standards , Qualcomm delivers complete and optimized...",linux mobile software engineer senior software engineer itskills +2 more
Embedded Software Engineer / Software Engineer,https://www.timesjobs.com/job-detail/embedded-software-engineer-software-engineer-bhtc-india-pvt-ltd-pune-0-to-3-yrs-jobid-CrigUpkfxuNzpSvf__PLUS__uAgZw==&source=srp,BHTC India Pvt Ltd,0 - 3 Years,Not disclosed,Pune,"Software Developer will be responsible for Analysis of requirements , implementation , testing and documentation of Automotive Software components ...",canoe microcontroller embedded c i2c embedded software engineer +1 more
Senior Software Engineer / Software Engineer,https://www.timesjobs.com/job-detail/senior-software-engineer-software-engineer-blueberry-labs-private-limited-hyderabad-secunderabad-0-to-3-yrs-jobid-ly5yvSwg4iNzpSvf__PLUS__uAgZw==&source=srp,BLUEBERRY LABS PRIVATE LIMITED,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,Company Description Blueberry Digital Labs ( www.blueberrylabs.com ) is a leading young and dynamic integrated digital technology Company with a por...,html5 problem solving javascript php mysql
Software Engineer,https://www.timesjobs.com/job-detail/software-engineer-hr-empower-consultancy-solapur-rourkela-moga-udaipur-gorakhpur-0-to-1-yrs-jobid-Rxs9QWP0631zpSvf__PLUS__uAgZw==&source=srp,HR Empower Consultancy,0 - 1 Years,Not disclosed,"Solapur, Rourkela, Moga, Udaipur, Gorakhpur","Responsibilities for Software EngineerAnalyze , design and develop tests and test-automation suites.design and develop a processing platform using va...",Hadoop Pig Sqoop Flume Hive Spark Kafka Oozie +2 more
Software Engineer / Senior Software Engineer WLAN testing,https://www.timesjobs.com/job-detail/software-engineer-senior-software-engineer-wlan-testing-votary-softech-solution-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-70s87bEY__PLUS__OJzpSvf__PLUS__uAgZw==&source=srp,votary softech solution pvt ltd,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Skills list:Design , develop , debug , test the wlan driver and android wi-fi framework.Optimize and improve the stability , compatibility , thro...",software engineer senior software engineer itskills
Software Engineer / Senior software Engineer - Bluetooth Developers,https://www.timesjobs.com/job-detail/software-engineer-senior-software-engineer-bluetooth-developers-votary-softech-solution-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-Nx8ciBLIX1FzpSvf__PLUS__uAgZw==&source=srp,votary softech solution pvt ltd,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Design , develop , debug , test the BT driver and android bt protocol stack.Optimize and improve the stability , compatibility , power consumptio...",protocol stack bluetooth software engineer senior software engineer itskills +2 more
Software Engineer / Senior Software Engineer - Graphics,https://www.timesjobs.com/job-detail/software-engineer-senior-software-engineer-graphics-votary-softech-solution-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-N__PLUS__1gAZVmrGJzpSvf__PLUS__uAgZw==&source=srp,votary softech solution pvt ltd,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Participate in product demand analysis and architecture planning and design.analyze and solve Graphic related problems , maintain display / graphic m...",linux software engineer senior software engineer graphics itskills +2 more
Software Engineer / Senior Software Engineer - Camera,https://www.timesjobs.com/job-detail/software-engineer-senior-software-engineer-camera-votary-softech-solution-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-C__SLASH__6ClALkkR1zpSvf__PLUS__uAgZw==&source=srp,votary softech solution pvt ltd,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Development in Linux Android environment ( Make , git etc ) Experience in Camera ISP pipelineExperience on Image Signal Processing techniques , ima...",algorithms git signal processing linux software engineer senior software engineer itskills +3 more
Wordpress Developer - Software Engineer / Senior Software Engineer,https://www.timesjobs.com/job-detail/wordpress-developer-software-engineer-senior-software-engineer-bolas-intelli-solutions-pvt-ltd-mangalore-0-to-3-yrs-jobid-jVtFvnf0EcpzpSvf__PLUS__uAgZw==&source=srp,bolas intelli solutions pvt ltd,0 - 3 Years,Not disclosed,Mangalore,Role & Responsibilities: Developing Wordpress based software solutions to meet customer needs.developing complete website which includes developing ...,css wordpress html5 senior software engineer bootstrap ajax jquery oops json software engineer html mysql joomla team player javascript drupal php +13 more
Software Engineer / Sr Software Engineer-Technology,https://www.timesjobs.com/job-detail/software-engineer-sr-software-engineer-technology-rehlat-hyderabad-secunderabad-0-to-3-yrs-jobid-mhif8zctJupzpSvf__PLUS__uAgZw==&source=srp,Rehlat,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Software Engineer / Sr Software Engineer-Technology ( Hyderabad , India ) We Hiring Software Engineers / Sr Software Engineer with 3 plus years of ...",c# css python entity framework javascript jquery microsoft .net asp.net software engineer web api html mvc api +8 more
Software Engineer / Software Engineer Log Analysis,https://www.timesjobs.com/job-detail/software-engineer-software-engineer-log-analysis-votary-softech-solution-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-jl9I66JPu51zpSvf__PLUS__uAgZw==&source=srp,votary softech solution pvt ltd,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,"Hands on experience in LTEUE Protocol testing and Log analysis.Hands on experience in IMS ( VoLTE , ViLTE ) & VoWifi testing.Hands on experience ...",mobile handset testing protocol testing testing itskills
Software Engineer,https://www.shine.com/jobs/software-engineer/tercelherbs-private-limited/16571431,TERCELHERBS PRIVATE LIMITED,7 to 9 Yrs,"Kathua
+9",software engineering practices+4
Software Engineer,https://www.shine.com/jobs/software-engineer/software-engineer/16353975,Software Engineer,2 to 6 Yrs,"Azamgarh
+1",Html • css • js
Senior Software Engineer II,https://www.shine.com/jobs/senior-software-engineer-ii/oracle/16655193,Oracle,5 to 9 Yrs,"Hyderabad
+1",ERP • CRM • SCM • financials+9
Software Engineer (C++ Developer),https://www.shine.com/jobs/software-engineer-c-developer/cadvision-engineers/16626124,CADVision Engineers.,2 to 6 Yrs,"Hyderabad
+1",C • C • COM technologies
Principal Software Engineer - IC6 (SOFENG - Software En ...,https://www.shine.com/jobs/principal-software-engineer-ic6-sofeng-software-engineering/powerschool/16539875,PowerSchool,15 to 19 Yrs,"Chennai
+1",Software Engineering • Web Applications+27
Senior Software Engineer II,https://www.shine.com/jobs/senior-software-engineer-ii/risk-solutions/16641960,Risk Solutions,6 to 10 Yrs,"Chennai
+1",Software Engineering • Agile+8
Digikore Studios - Senior Software Engineer - 3D Applic ...,https://www.shine.com/jobs/digikore-studios-senior-software-engineer-3d-applications/digikore-studios/16575612,Digikore Studios,2 to 6 Yrs,"Other Maharashtra
+1",C • Python • Django • Unreal Engine+3
"Software Engineer II - AWS, Cloud Database Engineer",https://www.shine.com/jobs/software-engineer-ii-aws-cloud-database-engineer/jpmc-candidate-experience-page/16638362,JPMC Candidate Experience page,2 to 6 Yrs,Other Karnataka,software engineering • system design+12
"Software Engineer III, Mobile, Android, Finder",https://www.shine.com/jobs/software-engineer-iii-mobile-android-finder/google/16637099,Google,1 to 5 Yrs,Other Karnataka,Software Development • Data Structures+7
Senior Software Engineer Embedded R&D,https://www.shine.com/jobs/senior-software-engineer-embedded-rd/blue-ocean-solutions-and-services-boss/16651112,Blue Ocean Solutions and Services (...,5 to 9 Yrs,Other Karnataka,data structures • multithreading+7
"Software Engineer III Python, Data, Cloud",https://www.shine.com/jobs/software-engineer-iii-python-data-cloud/chase-candidate-experience-page/16646762,Chase- Candidate Experience page,3 to 7 Yrs,Other Karnataka,software engineering • system design+27
"Lead Software Engineer (ROM, Security and Firmware)",https://www.shine.com/jobs/lead-software-engineer-rom-security-and-firmware/texas-instruments/16668860,Texas Instruments,5 to 9 Yrs,Other Karnataka,Assembly • C • C • Analytical skills+9
Software Engineer III Time & Absence,https://www.shine.com/jobs/software-engineer-iii-time-absence/jpmc-candidate-experience-page/16664216,JPMC Candidate Experience page,3 to 7 Yrs,"Hyderabad
+1",Software Engineering • System Design+10
Senior Software Engineer 1 - IC3 (SOFENG - Software Eng ...,https://www.shine.com/jobs/senior-software-engineer-1-ic3-sofeng-software-engineering/powerschool/16626290,PowerSchool,5 to 9 Yrs,Other Karnataka,PHP • Redis • Design patterns+9
Senior Java Software Engineer,https://www.shine.com/jobs/senior-java-software-engineer/quark-software-inc/16638350,Quark Software Inc.,1 to 5 Yrs,Other Punjab,Java • Spring Boot • Elasticsearch+13
Senior Software Engineer - C++,https://www.shine.com/jobs/senior-software-engineer-c/signity-software-solutions-pvt-ltd/16651991,Signity Software Solutions Pvt. Ltd...,8 to 12 Yrs,Other Punjab,C • Desktop Applications+11
Senior Software Engineer - Quark Publishing Platform,https://www.shine.com/jobs/senior-software-engineer-quark-publishing-platform/signity-software-solutions-pvt-ltd/16651982,Signity Software Solutions Pvt. Ltd...,6 to 10 Yrs,Other Punjab,Java • Spring Boot • Elasticsearch+13
"Senior Software Engineer - Salesforce Developer, LWC, C ...",https://www.shine.com/jobs/senior-software-engineer-salesforce-developer-lwc-community-cloud-experience-cloud/nec-software-solutions/16659445,NEC Software Solutions,5 to 9 Yrs,Other Maharashtra,CRM • VisualForce • Triggers+11
"Software Engineers, Electrical and Mechanical Design En ...",https://www.shine.com/jobs/software-engineers-electrical-and-mechanical-design-engineers-mechanical-electrical-technicians/raad-systems-inc/16653212,RAAD Systems Inc,2 to 6 Yrs,Other Karnataka,Software Engineers+6
"Software Engineer - Full Stack Developer, UI major",https://www.shine.com/jobs/software-engineer-full-stack-developer-ui-major/siemens-digital-industries-software/16647964,Siemens Digital Industries Software,4 to 8 Yrs,"Other Maharashtra
+1",Angular • JavaScript • HTML • CSS+7
"Manager, Software Engineer",https://www.naukri.com/job-listings-manager-software-engineer-solarwinds-india-pvt-ltd-bengaluru-0-to-5-years-250225501885,Solarwinds,0-5 Yrs,Not disclosed,Bengaluru,Bachelors degree with industry experienceYou should be passionate about taking bold ide...,"VMware
NoSQL
Business transformation
GCP
Solarwinds
Software development life cycle
Architecting
Distribution system"
Software Engineer-PERL,https://www.naukri.com/job-listings-software-engineer-perl-maropost-bengaluru-0-to-5-years-250225501044,Maropost,0-5 Yrs,Not disclosed,Bengaluru," Everything we do is powered by our customers! Featured on Deloittes Technology Fast 5...","Architect
Web technologies
Coding
MySQL
PHP
HTML
Perl
HTTP"
Software Engineer,https://www.naukri.com/job-listings-software-engineer-performio-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-210225503400,Performio,0-5 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai","Demonstrated experience as a software engineer, with 0-5 years experience in technology...","Career development
Hibernate
Product engineering
Usage
Front end
Data management
Javascript
Agile"
"Software Engineer, developer / Programmer, 2024 graduate Can also appl",https://www.naukri.com/job-listings-software-engineer-developer-programmer-2024-graduate-can-also-appl-creative-hands-hr-noida-gurugram-delhi-ncr-0-to-5-years-210225011904,Product based Top B2C/B2B MNC in Internet Sector,0-5 Yrs,2-5 Lacs PA,"Delhi / NCR, Noida, Gurugram",BE/BTech in IT or related fields; knowledge of software testing|Immediate requirement f...,"testing
Software
Software Programming
python
java
Software Engineering
linux
Mobile Testing"
"Software Engineer, developer / Programmer, 2024 graduate Can also appl",https://www.naukri.com/job-listings-software-engineer-developer-programmer-2024-graduate-can-also-appl-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-5-years-210225011939,Fortune India 500 IT Services Company,0-5 Yrs,2-5 Lacs PA,"Bengaluru, Hyderabad, Chennai",job description . 2024 graduate can also apply . Immediate Requirement in Software Test...,"testing
Software
Software Programming
python
java
Software Engineering
linux
Mobile Testing"
"Software Engineer, developer / Programmer, 2024 graduate Can also appl",https://www.naukri.com/job-listings-software-engineer-developer-programmer-2024-graduate-can-also-appl-creative-hands-hr-kolkata-pune-mumbai-all-areas-0-to-5-years-210225011861,Fortune India 500 IT Services Company,0-5 Yrs,2-5 Lacs PA,"Mumbai (All Areas), Kolkata, Pune",job description . 2024 graduate can also apply . Immediate Requirement in Software Test...,"testing
Software
Software Programming
python
java
Software Engineering
linux
Mobile Testing"
Software Engineer,https://www.naukri.com/job-listings-software-engineer-uzio-technology-india-private-limited-noida-0-to-2-years-170225503540,Uzio Technology India,0-2 Yrs,Not disclosed,Noida,. Education: BTech degree (preferably in Computer Science Engineering) from a reputed i...,"Computer science
Maven
Core Java
Payroll
Front end
Development Manager
Machine learning
Javascript"
Software Engineer,https://www.naukri.com/job-listings-software-engineer-vibry-business-solutions-hyderabad-chennai-bengaluru-0-to-0-years-110225012069,Vibry Business Solutions,0 Yrs,3-5 Lacs PA,"Bengaluru, Hyderabad, Chennai","Experience in Java, JavaScript, SQL; strong software development skills|Design, develop...","java
Python
Javascript
sql
Software engineering
Software
Javas"
Software Engineer,https://www.naukri.com/job-listings-software-engineer-blink-health-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-201224505002,Blink Health,0-3 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai",Demonstrate curiosity and an interest in learning new techniques and improving upon bes...,"Supply chain
Linux
Pharma
Pharmacy
MySQL
Javascript
Programming
Healthcare"
AI Software Engineer,https://www.naukri.com/job-listings-ai-software-engineer-godigi-infotech-mumbai-new-delhi-pune-bengaluru-0-to-1-years-100524500130,Godigi Infotech,0-1 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Pune","Bachelors degree in Computer Science, Engineering, or a related field . Experience in d...","Analytical skills
C++
Artificial Intelligence
Machine learning
Programming
Javascript
PHP
MATLAB"
